participant_id,fsm_type,trial_number,trial_type,trial_id,state_1,response_1,state_2,state_3,option_1,option_2,control_correct,response,response_correct,option_1_p,option_2_p,option_1_p_mm,option_2_p_mm,R_i_mm_eps_0.1,option_1_p_mm_an,option_2_p_mm_an,R_i_mm_an_eps_0.1,task,response_2,prediction_correct,explanation_1_decrease,explanation_2_decrease,explanation_correct
4,hard,9,hidden,hard_p_hid_2aa23,2,a,,,2,3,,2,True,1.0,0.0,1.0,0.0,2.3978952727983707,1.0,0.0,2.3978952727983707,prediction,a,2.0,,,
4,hard,10,hidden,hard_p_hid_0aa10,0,a,,,1,0,,1,False,0.0,0.4,0.0,0.333251953125,1.4661492506759393,0.0,0.333251953125,1.4661492506759393,prediction,a,0.0,,,
4,hard,11,visible,hard_p_vis_2b1a31,2,b,1.0,,3,1,,1,True,0.0,0.6,0.0,0.6666666666666666,2.0368819272610397,,,,prediction,a,1.0,,,
4,hard,12,hidden,hard_p_hid_3aa03,3,a,,,0,3,,0,False,0.0,0.4,0.0,0.333251953125,1.4661492506759393,0.0,0.0,0.0,prediction,a,3.0,,,
4,hard,13,hidden,hard_p_hid_2bb13,2,b,,,1,3,,1,False,0.36,0.64,0.357177734375,0.64306640625,0.485713185797579,0.5712890625,0.428466796875,0.23921985967457812,prediction,b,3.0,,,
4,hard,14,visible,hard_p_vis_1a0a30,1,a,0.0,,3,0,,3,True,1.0,0.0,1.0,0.0,2.3978952727983707,,,,prediction,a,3.0,,,
4,hard,15,hidden,hard_p_hid_2ab12,2,a,,,1,2,,2,False,0.6,0.0,0.625,0.0,1.9810014688665833,0.625,0.0,1.9810014688665833,prediction,b,1.0,,,
4,hard,16,visible,hard_p_vis_2b1b10,2,b,1.0,,1,0,,0,False,0.6,0.0,0.5714285714285714,0.0,1.9042374526547452,,,,prediction,b,1.0,,,
4,hard,17,visible,hard_p_vis_3b2a12,3,b,2.0,,1,2,,2,True,0.0,1.0,0.0,1.0,2.3978952727983707,,,,prediction,a,2.0,,,
4,hard,18,hidden,hard_p_hid_3bb13,3,b,,,1,3,,1,True,0.36,0.16,0.375,0.1600341796875,0.6025017213227278,0.625,0.0,1.9810014688665833,prediction,b,1.0,,,
4,hard,19,visible,hard_p_vis_1b3b30,1,b,3.0,,3,0,,0,False,0.4,0.0,0.4,0.0,1.6094379124341003,,,,prediction,b,3.0,,,
4,hard,20,hidden,hard_p_hid_1ba30,1,b,,,3,0,,3,False,0.0,0.4,0.0,0.333251953125,1.4661492506759393,0.0,0.333251953125,1.4661492506759393,prediction,a,0.0,,,
5,hard,0,visible,hard_e_vis_0a3a0,0,a,3.0,0.0,,,,2,True,,,0.4,0.0,1.6094379124341003,,,,explanation,a,,0.0,0.4,2.0
5,hard,1,visible,hard_e_vis_3b2b0,3,b,2.0,0.0,,,,2,True,,,0.22499999999999998,0.0,1.178654996341646,,,,explanation,b,,0.0,0.24,2.0
5,hard,2,hidden,hard_e_hid_2ab1,2,a,,1.0,,,,2,True,,,0.41666666666666663,0.0,1.642227735257091,0.6666666666666666,0.0,2.03688192726104,explanation,b,,0.24,0.6,2.0
5,hard,3,visible,hard_e_vis_1a0a3,1,a,0.0,3.0,,,,1,True,,,0.0,1.0,2.3978952727983707,,,,explanation,a,,0.4,0.0,1.0
5,hard,4,visible,hard_e_vis_2b1b1,2,b,1.0,1.0,,,,2,False,,,0.0,0.0,0.0,,,,explanation,b,,0.36,0.0,1.0
5,hard,5,hidden,hard_e_hid_2ba1,2,b,,1.0,,,,1,True,,,0.0,0.41666666666666663,1.642227735257091,0.0,0.6666666666666666,2.0368819272610397,explanation,a,,0.36,0.0,1.0
5,hard,6,hidden,hard_e_hid_2bb3,2,b,,3.0,,,,2,False,,,0.0,0.375,1.5581446180465497,0.0,0.0,0.0,explanation,b,,0.64,0.24,1.0
5,hard,7,hidden,hard_e_hid_3bb3,3,b,,3.0,,,,2,True,,,0.4,0.0,1.6094379124341003,0.0,0.0,0.0,explanation,b,,-0.24,0.16,2.0
5,hard,8,visible,hard_e_vis_3a0b3,3,a,0.0,3.0,,,,2,False,,,0.0,0.4,1.6094379124341003,,,,explanation,b,,0.4,0.0,1.0
5,hard,9,visible,hard_e_vis_0b3b3,0,b,3.0,3.0,,,,2,True,,,0.3333333333333333,0.0,1.466337068793427,,,,explanation,b,,0.0,0.4,2.0
5,hard,10,visible,hard_e_vis_2b1a1,2,b,1.0,1.0,,,,2,False,,,0.0,0.41666666666666663,1.642227735257091,,,,explanation,a,,0.36,0.0,1.0
5,hard,11,hidden,hard_e_hid_3ba2,3,b,,2.0,,,,2,True,,,0.6,0.2222222222222222,0.7758388964050588,1.0,0.0,2.3978952727983707,explanation,a,,0.24,0.6,2.0
5,hard,12,hidden,hard_e_hid_1ba2,1,b,,2.0,,,,2,False,,,0.0,0.2222222222222222,1.1700712526502544,0.0,0.0,0.0,explanation,a,,0.24,0.0,1.0
5,hard,13,visible,hard_e_vis_3b2a2,3,b,2.0,2.0,,,,1,False,,,0.6,0.0,1.9459101490553132,,,,explanation,a,,0.0,0.6,2.0
