participant_id,task,condition,predicted_accuracy,fsm,mm_accuracy,count_nan
61,explanation,hidden,0.5,hard,0.5,0.0
61,explanation,hidden_an,0.7685247834990176,hard,0.7,0.0
62,explanation,visible,0.6899744811276124,hard,0.6,0.0
62,explanation,hidden,0.5,hard,0.5,0.0
62,explanation,hidden_an,0.7685247834990176,hard,0.6666666666666666,1.0
63,control,visible,0.5,hard,0.5,0.0
63,control,hidden,0.5,hard,0.3,0.0
63,control,hidden_an,0.5,hard,0.5555555555555556,1.0
64,control,visible,0.598687660112452,hard,0.6,0.0
64,control,hidden,0.6899744811276124,hard,0.7,0.0
64,control,hidden_an,0.6899744811276124,hard,0.6666666666666666,1.0
65,control,visible,0.5,hard,0.5,0.0
65,control,hidden,0.8320183851339245,hard,0.8,0.0
65,control,hidden_an,0.598687660112452,hard,0.7777777777777778,1.0
66,control,visible,0.598687660112452,hard,0.6,0.0
66,control,hidden,0.598687660112452,hard,0.5,0.0
66,control,hidden_an,0.598687660112452,hard,0.5,0.0
67,control,visible,0.7685247834990176,hard,0.7,0.0
67,control,hidden,0.9820137900379085,hard,1.0,0.0
67,control,hidden_an,0.9820137900379085,hard,0.8888888888888888,1.0
68,control,visible,0.6899744811276124,hard,0.7,0.0
68,control,hidden,0.598687660112452,hard,0.6,0.0
68,control,hidden_an,0.8320183851339245,hard,0.5555555555555556,1.0
69,control,visible,0.7685247834990176,hard,0.8,0.0
69,control,hidden,0.5,hard,0.4,0.0
69,control,hidden_an,0.598687660112452,hard,0.5,0.0
70,control,visible,0.8320183851339245,hard,0.8,0.0
70,control,hidden,0.8320183851339245,hard,0.8,0.0
70,control,hidden_an,0.8320183851339245,hard,0.7,0.0
71,control,visible,0.8320183851339245,hard,0.8,0.0
71,control,hidden,0.5,hard,0.5,0.0
71,control,hidden_an,0.5,hard,0.5,0.0
72,prediction,visible,0.7685247834990176,hard,0.7,0.0
72,prediction,hidden,0.7685247834990176,hard,0.7,0.0
