participant_id,fsm_type,trial_number,trial_type,trial_id,state_1,response_1,state_2,state_3,option_1,option_2,control_correct,response,response_correct,option_1_p,option_2_p,option_1_p_mm,option_2_p_mm,R_i_mm_eps_0.1,response_correct_mm,option_1_p_mm_an,option_2_p_mm_an,R_i_mm_an_eps_0.1,response_correct_mm_an,task,response_2,prediction_correct,explanation_1_decrease,explanation_2_decrease,explanation_correct
4,hard,20,hidden,hard_p_hid_1ba30,1,b,,,3,0,,3,False,0.0,0.4,0.07501220703125,0.298828125,0.8236748337181241,0.0,0.0625,0.3125,0.9315582040049434,0.0,prediction,a,0.0,,,
5,hard,0,visible,hard_e_vis_0a3a0,0,a,3.0,0.0,,,,2,True,,,0.3046875,0.030357142857142853,1.132837227926624,1.0,,,,,explanation,a,,0.0,0.4,2.0
5,hard,1,visible,hard_e_vis_3b2b0,3,b,2.0,0.0,,,,2,True,,,0.19560185185185183,0.012648809523809522,0.9647383548741296,1.0,,,,,explanation,b,,0.0,0.24,2.0
5,hard,2,hidden,hard_e_hid_2ab1,2,a,,1.0,,,,2,True,,,0.3939318783068783,0.023177083333333334,1.388774587622585,1.0,0.6071428571428571,0.020833333333333332,1.7668205208808028,1.0,explanation,b,,0.24,0.6,2.0
5,hard,3,visible,hard_e_vis_1a0a3,1,a,0.0,3.0,,,,1,True,,,0.030357142857142853,0.609375,1.6941063642684342,1.0,,,,,explanation,a,,0.4,0.0,1.0
5,hard,4,visible,hard_e_vis_2b1b1,2,b,1.0,1.0,,,,2,False,,,0.012648809523809522,0.04861111111111111,0.27705780253155166,0.0,,,,,explanation,b,,0.36,0.0,1.0
5,hard,5,hidden,hard_e_hid_2ba1,2,b,,1.0,,,,1,True,,,0.023177083333333334,0.3939318783068783,1.388774587622585,1.0,0.020833333333333332,0.6071428571428571,1.7668205208808028,1.0,explanation,a,,0.36,0.0,1.0
5,hard,6,hidden,hard_e_hid_2bb3,2,b,,3.0,,,,2,False,,,0.05636160714285714,0.3572916666666666,1.0731500882452585,0.0,0.027777777777777776,0.08333333333333333,0.3610133455373306,0.0,explanation,b,,0.64,0.24,1.0
5,hard,7,hidden,hard_e_hid_3bb3,3,b,,3.0,,,,2,True,,,0.3465195105820106,0.05937499999999999,1.0302231801614192,1.0,0.027777777777777776,0.020833333333333332,0.05588045839445642,1.0,explanation,b,,-0.24,0.16,2.0
5,hard,8,visible,hard_e_vis_3a0b3,3,a,0.0,3.0,,,,2,False,,,0.02901785714285714,0.31875,1.1773232608937922,0.0,,,,,explanation,b,,0.4,0.0,1.0
5,hard,9,visible,hard_e_vis_0b3b3,0,b,3.0,3.0,,,,2,True,,,0.27321428571428574,0.033854166666666664,1.0254018483622236,1.0,,,,,explanation,b,,0.0,0.4,2.0
5,hard,10,visible,hard_e_vis_2b1a1,2,b,1.0,1.0,,,,2,False,,,0.001736111111111111,0.3541666666666667,1.4960819230000768,0.0,,,,,explanation,a,,0.36,0.0,1.0
5,hard,11,hidden,hard_e_hid_3ba2,3,b,,2.0,,,,2,True,,,0.5526041666666667,0.21552579365079366,0.7267303353807417,1.0,0.9375,0.027777777777777776,2.0942766080837774,1.0,explanation,a,,0.24,0.6,2.0
5,hard,12,hidden,hard_e_hid_1ba2,1,b,,2.0,,,,2,False,,,0.16770833333333335,0.2200609410430839,0.178613339006395,0.0,0.05,0.03571428571428571,0.10008345855698263,1.0,explanation,a,,0.24,0.0,1.0
