participant_id,fsm_type,trial_number,trial_type,trial_id,state_1,response_1,state_2,state_3,option_1,option_2,control_correct,response,response_correct,option_1_p,option_2_p,option_1_p_mm,option_2_p_mm,R_i_mm_eps_0.1,response_correct_mm,option_1_p_mm_an,option_2_p_mm_an,R_i_mm_an_eps_0.1,response_correct_mm_an,task,response_2,prediction_correct,explanation_1_decrease,explanation_2_decrease,explanation_correct
50,easy,7,hidden,easy_e_hid_0ba0,0,b,,0.0,,,,2,True,,,0.5711334120425029,0.07764880952380952,1.329159321705707,1.0,0.5892857142857143,0.03571428571428571,1.6251040291784997,1.0,explanation,a,,0.0,0.6,2.0
50,easy,8,visible,easy_e_vis_0b2a0,0,b,2.0,0.0,,,,2,True,,,0.5491071428571428,0.030357142857142853,1.6053198558251827,1.0,,,,,explanation,a,,0.0,0.6,2.0
50,easy,9,visible,easy_e_vis_0a2a0,0,a,2.0,0.0,,,,2,True,,,0.5008928571428571,0.033279220779220776,1.5059703124307249,1.0,,,,,explanation,a,,0.0,0.6,2.0
50,easy,10,hidden,easy_e_hid_2bb2,2,b,,2.0,,,,2,True,,,0.549202806122449,0.054962894248608535,1.4325594617465098,1.0,0.85,0.017857142857142856,2.086988747315219,1.0,explanation,b,,0.4,1.0,2.0
50,easy,11,hidden,easy_e_hid_3ab0,3,a,,0.0,,,,1,True,,,0.1373511904761905,0.41929499072356213,0.7829312439106608,1.0,0.08333333333333333,0.625,1.3748656652962679,1.0,explanation,b,,0.6,0.0,1.0
50,easy,12,visible,easy_e_vis_0a2b2,0,a,2.0,2.0,,,,2,True,,,0.7589285714285714,0.016639610389610388,1.996596837385052,1.0,,,,,explanation,b,,0.0,1.0,2.0
50,easy,13,visible,easy_e_vis_3a1b0,3,a,1.0,0.0,,,,1,True,,,0.06770833333333333,0.3794642857142857,1.0504430496971433,1.0,,,,,explanation,b,,0.6,0.0,1.0
50,easy,14,hidden,easy_e_hid_2aa2,2,a,,2.0,,,,1,True,,,0.054962894248608535,0.549202806122449,1.4325594617465098,1.0,0.017857142857142856,0.85,2.086988747315219,1.0,explanation,a,,0.6,0.0,1.0
50,easy,15,hidden,easy_e_hid_3ba0,3,b,,0.0,,,,2,True,,,0.41929499072356213,0.1373511904761905,0.7829312439106607,1.0,0.625,0.08333333333333333,1.3748656652962679,1.0,explanation,a,,-0.2,0.4,2.0
50,easy,16,visible,easy_e_vis_0b2a3,0,b,2.0,3.0,,,,2,True,,,0.3494318181818182,0.030357142857142853,1.23770622231626,1.0,,,,,explanation,a,,0.0,0.4,2.0
50,easy,17,hidden,easy_e_hid_3aa2,3,a,,2.0,,,,2,False,,,0.11634199134199133,0.3460246598639456,0.723513792819522,0.0,0.03571428571428571,0.0625,0.1801261662305189,0.0,explanation,a,,0.4,0.0,1.0
50,easy,18,visible,easy_e_vis_3a0a2,3,a,0.0,2.0,,,,1,True,,,0.07765151515151514,0.27321428571428574,0.7423288959296985,1.0,,,,,explanation,a,,0.4,0.0,1.0
50,easy,19,visible,easy_e_vis_0b2b2,0,b,2.0,2.0,,,,2,True,,,0.8319805194805194,0.015178571428571427,2.0908281935675395,1.0,,,,,explanation,b,,0.0,1.0,2.0
51,easy,0,visible,easy_e_vis_0b2b2,0,b,2.0,2.0,,,,1,False,,,0.8675595238095237,0.015625,2.1244247504962033,0.0,,,,,explanation,b,,0.0,1.0,2.0
51,easy,1,visible,easy_e_vis_2a0a2,2,a,0.0,2.0,,,,2,False,,,0.016369047619047616,0.328125,1.3026486230062368,0.0,,,,,explanation,a,,0.6,0.0,1.0
51,easy,2,visible,easy_e_vis_0b2a0,0,b,2.0,0.0,,,,2,True,,,0.48125,0.011160714285714284,1.654203926303807,1.0,,,,,explanation,a,,0.0,0.6,2.0
51,easy,3,hidden,easy_e_hid_2bb2,2,b,,2.0,,,,2,True,,,0.37008928571428573,0.04226190476190476,1.195252887750684,1.0,0.625,0.025,1.7578579175523736,1.0,explanation,b,,0.4,1.0,2.0
51,easy,4,hidden,easy_e_hid_0aa3,0,a,,3.0,,,,1,False,,,0.2847222222222222,0.04811507936507936,0.9545320382634066,0.0,0.425,0.017857142857142856,1.4939250253122562,0.0,explanation,a,,0.0,0.4,2.0
51,easy,5,hidden,easy_e_hid_0ba0,0,b,,0.0,,,,2,True,,,0.5132716049382716,0.109375,1.074681010168248,1.0,0.525,0.017857142857142856,1.6682784124570338,1.0,explanation,a,,0.0,0.6,2.0
51,easy,6,visible,easy_e_vis_0b2a3,0,b,2.0,3.0,,,,2,True,,,0.3895833333333333,0.011160714285714284,1.4825776586266,1.0,,,,,explanation,a,,0.0,0.4,2.0
51,easy,7,hidden,easy_e_hid_0bb2,0,b,,2.0,,,,1,False,,,0.8893849206349206,0.14583333333333334,1.3924296582127802,0.0,0.9464285714285714,0.025,2.1248245475276537,0.0,explanation,b,,0.0,1.0,2.0
51,easy,8,hidden,easy_e_hid_3aa2,3,a,,2.0,,,,1,True,,,0.0738095238095238,0.34300595238095233,0.9356231976276038,1.0,0.041666666666666664,0.125,0.46262352194811296,1.0,explanation,a,,0.4,0.0,1.0
51,easy,9,visible,easy_e_vis_3a1a0,3,a,1.0,0.0,,,,1,True,,,0.026785714285714284,0.33854166666666663,1.2409564559083788,1.0,,,,,explanation,a,,0.6,0.0,1.0
51,easy,10,visible,easy_e_vis_3a1b0,3,a,1.0,0.0,,,,2,False,,,0.02232142857142857,0.40625,1.420378377899627,0.0,,,,,explanation,b,,0.6,0.0,1.0
51,easy,11,visible,easy_e_vis_0a2b2,0,a,2.0,2.0,,,,2,True,,,0.5915178571428571,0.02291666666666667,1.727382355564,1.0,,,,,explanation,b,,0.0,1.0,2.0
51,easy,12,hidden,easy_e_hid_2aa2,2,a,,2.0,,,,1,True,,,0.04226190476190476,0.37008928571428573,1.195252887750684,1.0,0.025,0.625,1.7578579175523736,1.0,explanation,a,,0.6,0.0,1.0
51,easy,13,visible,easy_e_vis_3a0a2,3,a,0.0,2.0,,,,1,True,,,0.03273809523809523,0.234375,0.9238851396053198,1.0,,,,,explanation,a,,0.4,0.0,1.0
51,easy,14,hidden,easy_e_hid_0aa0,0,a,,0.0,,,,1,False,,,0.4722222222222222,0.03819444444444445,1.4208657051849791,0.0,0.525,0.017857142857142856,1.6682784124570338,0.0,explanation,a,,0.0,0.6,2.0
51,easy,15,visible,easy_e_vis_2a0b2,2,a,0.0,2.0,,,,2,False,,,0.011160714285714284,0.48125,1.6542039263038069,0.0,,,,,explanation,b,,0.6,0.0,1.0
51,easy,16,hidden,easy_e_hid_3ab2,3,a,,2.0,,,,2,False,,,0.09247448979591835,0.39166666666666666,0.9378373557002783,0.0,0.03571428571428571,0.08333333333333333,0.3007541540191337,0.0,explanation,b,,0.4,0.0,1.0
51,easy,17,hidden,easy_e_hid_3ba0,3,b,,0.0,,,,2,True,,,0.45416666666666666,0.059311224489795915,1.2466058080986384,1.0,0.75,0.03571428571428571,1.8346845139450887,1.0,explanation,a,,-0.2,0.4,2.0
51,easy,18,visible,easy_e_vis_0a2a0,0,a,2.0,0.0,,,,1,False,,,0.328125,0.016369047619047616,1.3026486230062368,0.0,,,,,explanation,a,,0.0,0.6,2.0
51,easy,19,hidden,easy_e_hid_3ab0,3,a,,0.0,,,,1,True,,,0.059311224489795915,0.45416666666666666,1.2466058080986384,1.0,0.03571428571428571,0.75,1.834684513945089,1.0,explanation,b,,0.6,0.0,1.0
52,hard,0,hidden,hard_e_hid_2ab1,2,a,,1.0,,,,2,True,,,0.35062499999999996,0.06293402777777776,1.01729012672045,1.0,0.6071428571428571,0.041666666666666664,1.6077558262511156,1.0,explanation,b,,0.24,0.6,2.0
52,hard,1,hidden,hard_e_hid_0aa0,0,a,,0.0,,,,2,True,,,0.2660590277777778,0.06525297619047618,0.7953171096793907,1.0,0.28125,0.041666666666666664,0.9899784476653142,1.0,explanation,a,,0.0,0.4,2.0
52,hard,2,hidden,hard_e_hid_3aa3,3,a,,3.0,,,,1,True,,,0.06987847222222221,0.28426339285714286,0.8162449242233536,1.0,0.041666666666666664,0.025,0.125163142954006,0.0,explanation,a,,0.4,0.0,1.0
52,hard,3,hidden,hard_e_hid_2ba1,2,b,,1.0,,,,2,False,,,0.06293402777777776,0.35062499999999996,1.01729012672045,0.0,0.041666666666666664,0.6071428571428571,1.6077558262511156,0.0,explanation,a,,0.36,0.0,1.0
52,hard,4,hidden,hard_e_hid_1bb2,1,b,,2.0,,,,2,False,,,0.058581349206349206,0.2697172619047619,0.8464708506506436,0.0,0.03571428571428571,0.041666666666666664,0.04292504471703377,0.0,explanation,b,,0.24,0.0,1.0
52,hard,5,visible,hard_e_vis_0b3b3,0,b,3.0,3.0,,,,2,True,,,0.3046875,0.02734375,1.1562250414527206,1.0,,,,,explanation,b,,0.0,0.4,2.0
52,hard,6,visible,hard_e_vis_1b3a2,1,b,3.0,2.0,,,,2,False,,,0.02734375,0.17410714285714285,0.7666289394049575,0.0,,,,,explanation,a,,0.24,0.0,1.0
52,hard,7,hidden,hard_e_hid_1aa0,1,a,,0.0,,,,1,False,,,0.32180059523809523,0.05441468253968254,1.0048909519908598,0.0,0.375,0.03571428571428571,1.2527629684953678,0.0,explanation,a,,-0.16,0.24,2.0
52,hard,8,visible,hard_e_vis_0a3a0,0,a,3.0,0.0,,,,1,False,,,0.24609375,0.033854166666666664,0.9499587932580801,0.0,,,,,explanation,a,,0.0,0.4,2.0
52,hard,9,hidden,hard_e_hid_2bb3,2,b,,3.0,,,,2,False,,,0.08735119047619047,0.3690104166666666,0.9176400990670316,0.0,0.025,0.041666666666666664,0.12516314295400605,0.0,explanation,b,,0.64,0.24,1.0
52,hard,10,visible,hard_e_vis_2b1a1,2,b,1.0,1.0,,,,2,False,,,0.02256944444444444,0.31875,1.2285963203538337,0.0,,,,,explanation,a,,0.36,0.0,1.0
52,hard,11,hidden,hard_e_hid_1ba2,1,b,,2.0,,,,2,False,,,0.10980902777777776,0.198171768707483,0.35147200007074647,0.0,0.041666666666666664,0.03571428571428571,0.042925044717033844,1.0,explanation,a,,0.24,0.0,1.0
52,hard,12,visible,hard_e_vis_3b2b0,3,b,2.0,0.0,,,,2,True,,,0.27890624999999997,0.02256944444444444,1.128611050220515,1.0,,,,,explanation,b,,0.0,0.24,2.0
52,hard,13,hidden,hard_e_hid_3ba2,3,b,,2.0,,,,2,True,,,0.6136067708333334,0.219890873015873,0.8023521536889878,1.0,0.875,0.025,2.0541237336955462,1.0,explanation,a,,0.24,0.6,2.0
52,hard,14,visible,hard_e_vis_3a0b3,3,a,0.0,3.0,,,,2,False,,,0.03645833333333333,0.228515625,0.8785650837600701,0.0,,,,,explanation,b,,0.4,0.0,1.0
52,hard,15,visible,hard_e_vis_3b2a2,3,b,2.0,2.0,,,,1,False,,,0.57421875,0.013541666666666667,1.781384736402503,0.0,,,,,explanation,a,,0.0,0.6,2.0
52,hard,16,hidden,hard_e_hid_3bb3,3,b,,3.0,,,,1,False,,,0.28426339285714286,0.06987847222222221,0.8162449242233535,0.0,0.025,0.041666666666666664,0.12516314295400605,1.0,explanation,b,,-0.24,0.16,2.0
52,hard,17,visible,hard_e_vis_3a2b1,3,a,2.0,1.0,,,,2,True,,,0.284375,0.02734375,1.1047285156855458,1.0,,,,,explanation,b,,0.0,0.36,2.0
52,hard,18,visible,hard_e_vis_1a0a3,1,a,0.0,3.0,,,,2,False,,,0.02901785714285714,0.328125,1.199464386771006,0.0,,,,,explanation,a,,0.4,0.0,1.0
52,hard,19,visible,hard_e_vis_2b1b1,2,b,1.0,1.0,,,,1,True,,,0.025297619047619044,0.284375,1.1209267788535138,1.0,,,,,explanation,b,,0.36,0.0,1.0
53,hard,0,hidden,hard_e_hid_1bb2,1,b,,2.0,,,,2,False,,,0.06434948979591835,0.3315051020408163,0.9652841386882887,0.0,0.03571428571428571,0.03571428571428571,0.0,,explanation,b,,0.24,0.0,1.0
53,hard,1,hidden,hard_e_hid_2bb3,2,b,,3.0,,,,1,True,,,0.0884672619047619,0.30050595238095235,0.753804313865711,1.0,0.025,0.03571428571428571,0.08223809823697223,1.0,explanation,b,,0.64,0.24,1.0
53,hard,2,visible,hard_e_vis_2b1a1,2,b,1.0,1.0,,,,1,True,,,0.025297619047619044,0.29017857142857145,1.1359126500813186,1.0,,,,,explanation,a,,0.36,0.0,1.0
53,hard,3,visible,hard_e_vis_3a0b3,3,a,0.0,3.0,,,,2,False,,,0.02901785714285714,0.27321428571428574,1.0622019249722694,0.0,,,,,explanation,b,,0.4,0.0,1.0
53,hard,4,hidden,hard_e_hid_1aa0,1,a,,0.0,,,,1,False,,,0.3017431972789116,0.054655612244897955,0.9546122833028781,0.0,0.32142857142857145,0.03571428571428571,1.133098464739279,0.0,explanation,a,,-0.16,0.24,2.0
53,hard,5,visible,hard_e_vis_0b3b3,0,b,3.0,3.0,,,,1,False,,,0.27321428571428574,0.02901785714285714,1.0622019249722694,0.0,,,,,explanation,b,,0.0,0.4,2.0
53,hard,6,hidden,hard_e_hid_0aa0,0,a,,0.0,,,,2,True,,,0.2869791666666667,0.05151785714285714,0.9376673717448915,1.0,0.32142857142857145,0.03571428571428571,1.133098464739279,1.0,explanation,a,,0.0,0.4,2.0
53,hard,7,visible,hard_e_vis_0a3a0,0,a,3.0,0.0,,,,2,True,,,0.2611607142857143,0.030357142857142853,1.01904511479021,1.0,,,,,explanation,a,,0.0,0.4,2.0
53,hard,8,hidden,hard_e_hid_1ba2,1,b,,2.0,,,,2,False,,,0.09068877551020407,0.301594387755102,0.7447999421040106,0.0,0.03571428571428571,0.03571428571428571,0.0,,explanation,a,,0.24,0.0,1.0
53,hard,9,visible,hard_e_vis_3a2b1,3,a,2.0,1.0,,,,2,True,,,0.3794642857142857,0.025297619047619044,1.341977549494593,1.0,,,,,explanation,b,,0.0,0.36,2.0
53,hard,10,hidden,hard_e_hid_3aa3,3,a,,3.0,,,,2,False,,,0.06840986394557823,0.30440051020408165,0.8760050741862794,0.0,0.041666666666666664,0.025,0.125163142954006,1.0,explanation,a,,0.4,0.0,1.0
53,hard,11,visible,hard_e_vis_3b2b0,3,b,2.0,0.0,,,,1,False,,,0.19732142857142856,0.025297619047619044,0.8641219449661721,0.0,,,,,explanation,b,,0.0,0.24,2.0
53,hard,12,hidden,hard_e_hid_2ba1,2,b,,1.0,,,,2,False,,,0.06532738095238094,0.3270089285714286,0.9488772879087873,0.0,0.041666666666666664,0.4642857142857143,1.382083828583547,0.0,explanation,a,,0.36,0.0,1.0
53,hard,13,hidden,hard_e_hid_3ba2,3,b,,2.0,,,,1,False,,,0.5702806122448979,0.21383928571428573,0.7588154230050184,0.0,0.875,0.025,2.0541237336955462,0.0,explanation,a,,0.24,0.6,2.0
53,hard,14,visible,hard_e_vis_1b3a2,1,b,3.0,2.0,,,,1,True,,,0.02168367346938775,0.2818877551020408,1.143701893531287,1.0,,,,,explanation,a,,0.24,0.0,1.0
53,hard,15,visible,hard_e_vis_3b2a2,3,b,2.0,2.0,,,,1,False,,,0.53125,0.015178571428571428,1.7012182615349005,0.0,,,,,explanation,a,,0.0,0.6,2.0
53,hard,16,hidden,hard_e_hid_3bb3,3,b,,3.0,,,,2,True,,,0.30440051020408165,0.06840986394557823,0.8760050741862794,1.0,0.025,0.041666666666666664,0.12516314295400605,0.0,explanation,b,,-0.24,0.16,2.0
53,hard,17,visible,hard_e_vis_2b1b1,2,b,1.0,1.0,,,,1,True,,,0.019345238095238096,0.3794642857142857,1.390648955870405,1.0,,,,,explanation,b,,0.36,0.0,1.0
53,hard,18,hidden,hard_e_hid_2ab1,2,a,,1.0,,,,1,False,,,0.3270089285714286,0.06532738095238094,0.9488772879087873,0.0,0.4642857142857143,0.041666666666666664,1.382083828583547,0.0,explanation,b,,0.24,0.6,2.0
53,hard,19,visible,hard_e_vis_1a0a3,1,a,0.0,3.0,,,,2,False,,,0.030357142857142853,0.2611607142857143,1.0190451147902098,0.0,,,,,explanation,a,,0.4,0.0,1.0
54,hard,0,visible,hard_e_vis_1b3a2,1,b,3.0,2.0,,,,2,False,,,0.022135416666666664,0.2390625,1.0210540543222353,0.0,,,,,explanation,a,,0.24,0.0,1.0
54,hard,1,hidden,hard_e_hid_3ba2,3,b,,2.0,,,,2,True,,,0.4996744791666667,0.23370225694444444,0.5861378241406525,1.0,0.875,0.027777777777777776,2.032144826976771,1.0,explanation,a,,0.24,0.6,2.0
54,hard,2,visible,hard_e_vis_3b2b0,3,b,2.0,0.0,,,,1,False,,,0.2508680555555555,0.022135416666666664,1.0552798408491773,0.0,,,,,explanation,b,,0.0,0.24,2.0
54,hard,3,visible,hard_e_vis_3a0b3,3,a,0.0,3.0,,,,2,False,,,0.0265625,0.35546875,1.2805908511181083,0.0,,,,,explanation,b,,0.4,0.0,1.0
54,hard,4,hidden,hard_e_hid_2ba1,2,b,,1.0,,,,1,True,,,0.06206597222222222,0.25009645061728397,0.7702052014384041,1.0,0.041666666666666664,0.05,0.057158413839948755,1.0,explanation,a,,0.36,0.0,1.0
54,hard,5,hidden,hard_e_hid_3aa3,3,a,,3.0,,,,2,False,,,0.0634765625,0.38682725694444436,1.0912397201876105,0.0,0.041666666666666664,0.027777777777777776,0.1031842362352308,1.0,explanation,a,,0.4,0.0,1.0
54,hard,6,visible,hard_e_vis_2b1a1,2,b,1.0,1.0,,,,2,False,,,0.02256944444444444,0.2125,0.9359267063910139,0.0,,,,,explanation,a,,0.36,0.0,1.0
54,hard,7,hidden,hard_e_hid_2ab1,2,a,,1.0,,,,2,True,,,0.25009645061728397,0.06206597222222222,0.7702052014384042,1.0,0.05,0.041666666666666664,0.05715841383994883,1.0,explanation,b,,0.24,0.6,2.0
54,hard,8,visible,hard_e_vis_1a0a3,1,a,0.0,3.0,,,,2,False,,,0.043750000000000004,0.31875,1.069198403461816,0.0,,,,,explanation,a,,0.4,0.0,1.0
54,hard,9,visible,hard_e_vis_3a2b1,3,a,2.0,1.0,,,,2,True,,,0.2508680555555555,0.022135416666666664,1.0552798408491773,1.0,,,,,explanation,b,,0.0,0.36,2.0
54,hard,10,hidden,hard_e_hid_1bb2,1,b,,2.0,,,,2,False,,,0.06912615740740741,0.30364583333333334,0.869892913343343,0.0,0.05,0.041666666666666664,0.05715841383994883,1.0,explanation,b,,0.24,0.0,1.0
54,hard,11,hidden,hard_e_hid_1aa0,1,a,,0.0,,,,1,False,,,0.35572916666666665,0.0668113425925926,1.0050352115506196,0.0,0.375,0.05,1.1526795099383853,0.0,explanation,a,,-0.16,0.24,2.0
54,hard,12,visible,hard_e_vis_0b3b3,0,b,3.0,3.0,,,,2,True,,,0.35546875,0.0265625,1.2805908511181083,1.0,,,,,explanation,b,,0.0,0.4,2.0
54,hard,13,hidden,hard_e_hid_3bb3,3,b,,3.0,,,,1,False,,,0.38682725694444436,0.0634765625,1.0912397201876105,0.0,0.027777777777777776,0.041666666666666664,0.10318423623523088,1.0,explanation,b,,-0.24,0.16,2.0
54,hard,14,visible,hard_e_vis_3b2a2,3,b,2.0,2.0,,,,2,True,,,0.46484375,0.014756944444444444,1.5937327790833524,1.0,,,,,explanation,a,,0.0,0.6,2.0
54,hard,15,hidden,hard_e_hid_0aa0,0,a,,0.0,,,,2,True,,,0.3682291666666666,0.05118634259259259,1.130444715534773,1.0,0.40625,0.03125,1.3499267169490157,1.0,explanation,a,,0.0,0.4,2.0
54,hard,16,visible,hard_e_vis_0a3a0,0,a,3.0,0.0,,,,2,True,,,0.34531249999999997,0.02734375,1.2518861600218334,1.0,,,,,explanation,a,,0.0,0.4,2.0
54,hard,17,hidden,hard_e_hid_1ba2,1,b,,2.0,,,,2,False,,,0.09678819444444442,0.2654513888888889,0.6190052761688983,0.0,0.041666666666666664,0.05,0.057158413839948755,0.0,explanation,a,,0.24,0.0,1.0
54,hard,18,visible,hard_e_vis_2b1b1,2,b,1.0,1.0,,,,1,True,,,0.01875,0.25578703703703703,1.0973118983678263,1.0,,,,,explanation,b,,0.36,0.0,1.0
54,hard,19,hidden,hard_e_hid_2bb3,2,b,,3.0,,,,2,False,,,0.09539930555555555,0.4348958333333333,1.0070268382498808,0.0,0.027777777777777776,0.875,2.032144826976771,0.0,explanation,b,,0.64,0.24,1.0
55,hard,0,visible,hard_e_vis_0a3a0,0,a,3.0,0.0,,,,1,False,,,0.0390625,0.02734375,0.08803334948532274,0.0,,,,,explanation,a,,0.0,0.4,2.0
55,hard,1,visible,hard_e_vis_3a0b3,3,a,0.0,3.0,,,,2,False,,,0.01953125,0.0546875,0.2578291093020998,0.0,,,,,explanation,b,,0.4,0.0,1.0
55,hard,2,visible,hard_e_vis_1a0a3,1,a,0.0,3.0,,,,1,True,,,0.07291666666666666,0.25390625,0.7162222646747098,1.0,,,,,explanation,a,,0.4,0.0,1.0
55,hard,3,visible,hard_e_vis_3a2b1,3,a,2.0,1.0,,,,2,True,,,0.2822265625,0.01450892857142857,1.205360729600784,1.0,,,,,explanation,b,,0.0,0.36,2.0
55,hard,4,visible,hard_e_vis_2b1a1,2,b,1.0,1.0,,,,1,True,,,0.009486607142857142,0.22135416666666669,1.0767416052871739,1.0,,,,,explanation,a,,0.36,0.0,1.0
55,hard,5,hidden,hard_e_hid_1ba2,1,b,,2.0,,,,2,False,,,0.08849516369047619,0.2690972222222222,0.6719877344496193,0.0,0.03125,0.08333333333333333,0.3342020880866739,0.0,explanation,a,,0.24,0.0,1.0
55,hard,6,hidden,hard_e_hid_3bb3,3,b,,3.0,,,,2,True,,,0.11588541666666667,0.06319754464285715,0.2797863911993634,1.0,0.03125,0.017857142857142856,0.10763066419236555,1.0,explanation,b,,-0.24,0.16,2.0
55,hard,7,hidden,hard_e_hid_1bb2,1,b,,2.0,,,,1,True,,,0.11263020833333333,0.4339037698412699,0.9206610706204492,1.0,0.08333333333333333,0.03125,0.3342020880866739,0.0,explanation,b,,0.24,0.0,1.0
55,hard,8,hidden,hard_e_hid_2bb3,2,b,,3.0,,,,1,True,,,0.055431547619047616,0.3745814732142857,1.1162278801457997,1.0,0.03125,0.03125,0.0,,explanation,b,,0.64,0.24,1.0
55,hard,9,hidden,hard_e_hid_2ab1,2,a,,1.0,,,,1,False,,,0.2897135416666667,0.02824723639455782,1.1114520254548592,0.0,0.4166666666666667,0.017857142857142856,1.477924683965815,0.0,explanation,b,,0.24,0.6,2.0
55,hard,10,hidden,hard_e_hid_3aa3,3,a,,3.0,,,,2,False,,,0.06319754464285715,0.11588541666666667,0.2797863911993633,0.0,0.017857142857142856,0.03125,0.10763066419236544,0.0,explanation,a,,0.4,0.0,1.0
55,hard,11,hidden,hard_e_hid_3ba2,3,b,,2.0,,,,1,False,,,0.8243117559523809,0.23893229166666666,1.0032490551175832,0.0,0.9464285714285714,0.03125,2.0760343833582215,0.0,explanation,a,,0.24,0.6,2.0
55,hard,12,visible,hard_e_vis_3b2a2,3,b,2.0,2.0,,,,2,True,,,0.7689732142857143,0.0166015625,2.008549626842376,1.0,,,,,explanation,a,,0.0,0.6,2.0
55,hard,13,visible,hard_e_vis_1b3a2,1,b,3.0,2.0,,,,2,False,,,0.025390625,0.22135416666666669,0.941109973227153,0.0,,,,,explanation,a,,0.24,0.0,1.0
55,hard,14,hidden,hard_e_hid_1aa0,1,a,,0.0,,,,1,False,,,0.20027281746031744,0.10872395833333333,0.3636788474946548,0.0,0.40625,0.08333333333333333,1.0157246288623418,0.0,explanation,a,,-0.16,0.24,2.0
55,hard,15,visible,hard_e_vis_0b3b3,0,b,3.0,3.0,,,,2,True,,,0.35546875,0.0390625,1.1864036360584072,1.0,,,,,explanation,b,,0.0,0.4,2.0
55,hard,16,visible,hard_e_vis_2b1b1,2,b,1.0,1.0,,,,1,True,,,0.00744047619047619,0.2822265625,1.2690765439868916,1.0,,,,,explanation,b,,0.36,0.0,1.0
55,hard,17,hidden,hard_e_hid_2ba1,2,b,,1.0,,,,2,False,,,0.02824723639455782,0.2897135416666667,1.1114520254548592,0.0,0.017857142857142856,0.4166666666666667,1.4779246839658151,0.0,explanation,a,,0.36,0.0,1.0
55,hard,18,visible,hard_e_vis_3b2b0,3,b,2.0,0.0,,,,2,True,,,0.330078125,0.009486607142857142,1.3681646456526848,1.0,,,,,explanation,b,,0.0,0.24,2.0
55,hard,19,hidden,hard_e_hid_0aa0,0,a,,0.0,,,,1,False,,,0.09728422619047619,0.05295138888888889,0.25452531025380154,0.0,0.0625,0.03125,0.2135741002980591,0.0,explanation,a,,0.0,0.4,2.0
56,hard,0,visible,hard_e_vis_0b3b3,0,b,3.0,3.0,,,,1,False,,,0.07291666666666666,0.0203125,0.362717258394695,0.0,,,,,explanation,b,,0.0,0.4,2.0
56,hard,1,visible,hard_e_vis_3a2b1,3,a,2.0,1.0,,,,2,True,,,0.39375000000000004,0.026041666666666664,1.3654167760983356,1.0,,,,,explanation,b,,0.0,0.36,2.0
56,hard,2,visible,hard_e_vis_1b3a2,1,b,3.0,2.0,,,,2,False,,,0.03125,0.2708333333333333,1.0386488239005525,0.0,,,,,explanation,a,,0.24,0.0,1.0
56,hard,3,visible,hard_e_vis_3b2a2,3,b,2.0,2.0,,,,2,True,,,0.546875,0.018750000000000003,1.6951326335389831,1.0,,,,,explanation,a,,0.0,0.6,2.0
56,hard,4,hidden,hard_e_hid_2ab1,2,a,,1.0,,,,2,True,,,0.34802083333333333,0.057986111111111106,1.04233260950685,1.0,0.5833333333333334,0.041666666666666664,1.5735059032080372,1.0,explanation,b,,0.24,0.6,2.0
56,hard,5,visible,hard_e_vis_1a0a3,1,a,0.0,3.0,,,,1,True,,,0.024305555555555552,0.36562500000000003,1.3206378968809784,1.0,,,,,explanation,a,,0.4,0.0,1.0
56,hard,6,visible,hard_e_vis_2b1a1,2,b,1.0,1.0,,,,1,True,,,0.01875,0.30625,1.2299482907291965,1.0,,,,,explanation,a,,0.36,0.0,1.0
56,hard,7,hidden,hard_e_hid_3aa3,3,a,,3.0,,,,1,True,,,0.11041666666666666,0.29079861111111116,0.6191026742774726,1.0,0.041666666666666664,0.025,0.125163142954006,0.0,explanation,a,,0.4,0.0,1.0
56,hard,8,hidden,hard_e_hid_3bb3,3,b,,3.0,,,,2,True,,,0.29079861111111116,0.11041666666666666,0.6191026742774725,1.0,0.025,0.041666666666666664,0.12516314295400605,0.0,explanation,b,,-0.24,0.16,2.0
56,hard,9,visible,hard_e_vis_3b2b0,3,b,2.0,0.0,,,,2,True,,,0.265625,0.03125,1.0245043165143877,1.0,,,,,explanation,b,,0.0,0.24,2.0
56,hard,10,hidden,hard_e_hid_1bb2,1,b,,2.0,,,,1,True,,,0.079375,0.28032407407407406,0.7515451292673635,1.0,0.0625,0.05,0.08004270767353636,0.0,explanation,b,,0.24,0.0,1.0
56,hard,11,visible,hard_e_vis_0a3a0,0,a,3.0,0.0,,,,2,True,,,0.26406250000000003,0.07291666666666666,0.7445157733173219,1.0,,,,,explanation,a,,0.0,0.4,2.0
56,hard,12,hidden,hard_e_hid_1ba2,1,b,,2.0,,,,2,False,,,0.11625,0.2894675925925926,0.588345513450875,0.0,0.041666666666666664,0.027777777777777776,0.1031842362352308,1.0,explanation,a,,0.24,0.0,1.0
56,hard,13,visible,hard_e_vis_3a0b3,3,a,0.0,3.0,,,,1,True,,,0.06770833333333333,0.284375,0.8293922790560643,1.0,,,,,explanation,b,,0.4,0.0,1.0
56,hard,14,hidden,hard_e_hid_2ba1,2,b,,1.0,,,,2,False,,,0.057986111111111106,0.34802083333333333,1.04233260950685,0.0,0.041666666666666664,0.5833333333333334,1.5735059032080372,0.0,explanation,a,,0.36,0.0,1.0
56,hard,15,hidden,hard_e_hid_1aa0,1,a,,0.0,,,,1,False,,,0.38217592592592586,0.06604166666666667,1.0660702781285831,0.0,0.45,0.0625,1.2192402764567245,0.0,explanation,a,,-0.16,0.24,2.0
