"participant_id","fsm_number","trial_number","state_current","response_current","state_next","state_1","response_1","state_2","response_2","state_3","response_time","response_time_lessThan300ms","trial_id"
17,22,35,2,"a",2,3,"a",2,"a",2,938.880000000005,0,"2a2"
17,22,36,2,"a",2,2,"a",2,"a",2,754.640000000014,0,"2a2"
17,22,37,2,"a",2,2,"a",2,"a",2,8682.01999999999,0,"2a2"
17,22,38,2,"a",2,2,"a",2,"a",2,1543.92000000001,0,"2a2"
17,22,39,2,"a",2,2,"a",2,"a",2,2851.64000000001,0,"2a2"
17,22,40,2,"b",1,2,"a",2,"b",1,406.820000000007,0,"2b1"
17,22,41,1,"b",3,2,"b",1,"b",3,397.279999999999,0,"1b3"
17,22,42,3,"b",2,1,"b",3,"b",2,124.760000000009,1,"3b2"
17,22,43,2,"a",2,3,"b",2,"a",2,284.01999999999,1,"2a2"
17,22,44,2,"a",2,2,"a",2,"a",2,954.559999999998,0,"2a2"
17,22,45,2,"a",2,2,"a",2,"a",2,743.540000000008,0,"2a2"
18,22,1,2,"a",2,NA,NA,NA,NA,NA,3319.65699990463,0,"2a2"
18,22,2,2,"b",1,2,"a",2,"b",1,1904.14699995233,0,"2b1"
18,22,3,1,"b",3,2,"b",1,"b",3,1197.65699990463,0,"1b3"
18,22,4,3,"b",3,1,"b",3,"b",3,1596.52299995231,0,"3b3"
18,22,5,3,"b",3,3,"b",3,"b",3,931.815999976156,0,"3b3"
18,22,6,3,"a",2,3,"b",3,"a",2,811.306999928463,0,"3a2"
18,22,7,2,"a",2,3,"a",2,"a",2,1734.36299990464,0,"2a2"
18,22,8,2,"a",2,2,"a",2,"a",2,554.363999904628,0,"2a2"
18,22,9,2,"a",2,2,"a",2,"a",2,420.639999976149,0,"2a2"
18,22,10,2,"a",2,2,"a",2,"a",2,391.542999904632,0,"2a2"
18,22,11,2,"a",2,2,"a",2,"a",2,352.346999952308,0,"2a2"
18,22,12,2,"a",2,2,"a",2,"a",2,384.194999976171,0,"2a2"
18,22,13,2,"b",1,2,"a",2,"b",1,830.252000000008,0,"2b1"
18,22,14,1,"b",1,2,"b",1,"b",1,730.076999928482,0,"1b1"
18,22,15,1,"b",3,1,"b",1,"b",3,793.49399997617,0,"1b3"
