"participant_id","state_current","response_current","state_next","state_next_n","state_next_p"
12,0,"a",1,0,0
12,0,"a",2,0,0
12,0,"a",3,3,1
12,0,"b",0,0,0
12,0,"b",1,0,0
12,0,"b",2,0,0
12,0,"b",3,3,1
12,1,"a",0,1,0.5
12,1,"a",1,1,0.5
12,1,"a",2,0,0
12,1,"a",3,0,0
12,1,"b",0,0,0
12,1,"b",1,4,0.5
12,1,"b",2,0,0
12,1,"b",3,4,0.5
12,2,"a",0,0,0
12,2,"a",1,0,0
12,2,"a",2,7,1
12,2,"a",3,0,0
12,2,"b",0,3,0.375
12,2,"b",1,5,0.625
12,2,"b",2,0,0
12,2,"b",3,0,0
12,3,"a",0,2,0.4
12,3,"a",1,0,0
12,3,"a",2,3,0.6
12,3,"a",3,0,0
12,3,"b",0,0,0
12,3,"b",1,0,0
12,3,"b",2,6,0.666666666666667
12,3,"b",3,3,0.333333333333333
13,0,"a",0,0,0
13,0,"a",1,0,0
13,0,"a",2,9,1
13,0,"a",3,0,0
13,0,"b",0,0,0
13,0,"b",1,0,0
13,0,"b",2,3,1
13,0,"b",3,0,0
13,1,"a",0,1,1
13,1,"a",1,0,0
13,1,"a",2,0,0
13,1,"a",3,0,0
13,1,"b",0,3,1
13,1,"b",1,0,0
13,1,"b",2,0,0
13,1,"b",3,0,0
13,2,"a",0,6,0.5
13,2,"a",1,0,0
13,2,"a",2,0,0
13,2,"a",3,6,0.5
13,2,"b",0,0,0
13,2,"b",1,0,0
13,2,"b",2,6,1
13,2,"b",3,0,0
13,3,"a",0,2,0.285714285714286
13,3,"a",1,5,0.714285714285714
13,3,"a",2,0,0
13,3,"a",3,0,0
13,3,"b",0,0,0
13,3,"b",1,0,0
13,3,"b",2,0,0
13,3,"b",3,4,1
14,0,"a",0,0,0
14,0,"a",1,0,0
14,0,"a",2,13,1
14,0,"a",3,0,0
14,0,"b",0,0,0
14,0,"b",1,0,0
14,0,"b",2,1,1
14,0,"b",3,0,0
14,1,"a",0,4,1
14,1,"a",1,0,0
14,1,"a",2,0,0
14,1,"a",3,0,0
14,1,"b",0,0,0
14,1,"b",1,0,0
14,1,"b",2,0,0
14,1,"b",3,0,0
14,2,"a",0,7,0.538461538461538
14,2,"a",1,0,0
14,2,"a",2,0,0
14,2,"a",3,6,0.461538461538462
14,2,"b",0,0,0
14,2,"b",1,0,0
14,2,"b",2,8,1
14,2,"b",3,0,0
14,3,"a",0,2,0.333333333333333
14,3,"a",1,4,0.666666666666667
14,3,"a",2,0,0
14,3,"a",3,0,0
14,3,"b",0,0,0
14,3,"b",1,0,0
14,3,"b",2,0,0
14,3,"b",3,0,0
15,0,"a",0,0,0
15,0,"a",1,0,0
15,0,"a",2,0,0
15,0,"a",3,3,1
15,0,"b",0,0,0
15,0,"b",1,0,0
15,0,"b",2,0,0
15,0,"b",3,3,1
15,1,"a",0,1,0.5
15,1,"a",1,1,0.5
15,1,"a",2,0,0
15,1,"a",3,0,0
15,1,"b",0,0,0
15,1,"b",1,3,0.5
15,1,"b",2,0,0
15,1,"b",3,3,0.5
15,2,"a",0,0,0
15,2,"a",1,0,0
15,2,"a",2,12,1
15,2,"a",3,0,0
15,2,"b",0,3,0.428571428571429
15,2,"b",1,4,0.571428571428571
15,2,"b",2,0,0
15,2,"b",3,0,0
15,3,"a",0,2,0.4
15,3,"a",1,0,0
15,3,"a",2,3,0.6
15,3,"a",3,0,0
15,3,"b",0,0,0
15,3,"b",1,0,0
15,3,"b",2,4,0.571428571428571
15,3,"b",3,3,0.428571428571429
16,0,"a",0,0,0
16,0,"a",1,0,0
16,0,"a",2,0,0
16,0,"a",3,2,1
16,0,"b",0,0,0
16,0,"b",1,0,0
16,0,"b",2,0,0
16,0,"b",3,2,1
16,1,"a",0,1,0.5
16,1,"a",1,1,0.5
16,1,"a",2,0,0
16,1,"a",3,0,0
16,1,"b",0,0,0
16,1,"b",1,8,0.615384615384615
16,1,"b",2,0,0
16,1,"b",3,5,0.384615384615385
16,2,"a",0,0,0
16,2,"a",1,0,0
16,2,"a",2,5,1
16,2,"a",3,0,0
16,2,"b",0,3,0.333333333333333
16,2,"b",1,6,0.666666666666667
16,2,"b",2,0,0
16,2,"b",3,0,0
16,3,"a",0,0,0
16,3,"a",1,0,0
16,3,"a",2,2,1
16,3,"a",3,0,0
16,3,"b",0,0,0
16,3,"b",1,0,0
16,3,"b",2,6,0.6
16,3,"b",3,4,0.4
17,0,"a",0,0,0
17,0,"a",1,0,0
17,0,"a",2,0,0
17,0,"a",3,4,1
17,0,"b",0,0,0
17,0,"b",1,0,0
17,0,"b",2,0,0
17,0,"b",3,4,1
17,1,"a",0,2,0.666666666666667
17,1,"a",1,1,0.333333333333333
17,1,"a",2,0,0
17,1,"a",3,0,0
17,1,"b",0,0,0
17,1,"b",1,1,0.333333333333333
17,1,"b",2,0,0
17,1,"b",3,2,0.666666666666667
17,2,"a",0,0,0
17,2,"a",1,0,0
17,2,"a",2,11,1
17,2,"a",3,0,0
17,2,"b",0,3,0.428571428571429
17,2,"b",1,4,0.571428571428571
17,2,"b",2,0,0
17,2,"b",3,0,0
17,3,"a",0,3,0.375
17,3,"a",1,0,0
17,3,"a",2,5,0.625
17,3,"a",3,0,0
17,3,"b",0,0,0
17,3,"b",1,0,0
17,3,"b",2,3,0.6
17,3,"b",3,2,0.4
18,0,"a",0,0,0
18,0,"a",1,0,0
18,0,"a",2,0,0
18,0,"a",3,0,0
18,0,"b",0,0,0
18,0,"b",1,0,0
18,0,"b",2,0,0
18,0,"b",3,3,1
18,1,"a",0,0,0
18,1,"a",1,0,0
18,1,"a",2,0,0
18,1,"a",3,0,0
18,1,"b",0,0,0
18,1,"b",1,6,0.545454545454545
18,1,"b",2,0,0
18,1,"b",3,5,0.454545454545455
18,2,"a",0,0,0
18,2,"a",1,0,0
18,2,"a",2,10,1
18,2,"a",3,0,0
18,2,"b",0,3,0.333333333333333
18,2,"b",1,6,0.666666666666667
18,2,"b",2,0,0
18,2,"b",3,0,0
18,3,"a",0,0,0
18,3,"a",1,0,0
18,3,"a",2,2,1
18,3,"a",3,0,0
18,3,"b",0,0,0
18,3,"b",1,0,0
18,3,"b",2,6,0.6
18,3,"b",3,4,0.4
19,0,"a",0,0,0
19,0,"a",1,0,0
19,0,"a",2,0,0
19,0,"a",3,6,1
19,0,"b",0,0,0
19,0,"b",1,0,0
19,0,"b",2,0,0
19,0,"b",3,2,1
19,1,"a",0,4,0.5
19,1,"a",1,4,0.5
19,1,"a",2,0,0
19,1,"a",3,0,0
19,1,"b",0,0,0
19,1,"b",1,3,0.75
19,1,"b",2,0,0
19,1,"b",3,1,0.25
19,2,"a",0,0,0
19,2,"a",1,0,0
19,2,"a",2,6,1
19,2,"a",3,0,0
19,2,"b",0,2,0.285714285714286
19,2,"b",1,5,0.714285714285714
19,2,"b",2,0,0
19,2,"b",3,0,0
19,3,"a",0,2,0.5
19,3,"a",1,0,0
19,3,"a",2,2,0.5
19,3,"a",3,0,0
19,3,"b",0,0,0
19,3,"b",1,0,0
19,3,"b",2,5,0.625
19,3,"b",3,3,0.375
20,0,"a",0,0,0
