participant_id,fsm_number,fsm_type,test_condition,learning_condition,trial_number,trial_type,state_1,response_1,state_2,response_2,state_3,option_1,option_2,correctResponse,response,response_correct,response_time
22,21.0,easy,control,Experiment 1 (no preview),7,visible,2.0,a,3.0,,1.0,a,b,a,a,1.0,2259.749999994063
22,21.0,easy,control,Experiment 1 (no preview),8,hidden,3.0,,,,1.0,aa,ba,ba,ba,1.0,6708.94800000597
22,21.0,easy,control,Experiment 1 (no preview),9,hidden,3.0,,,,3.0,bb,ba,bb,bb,1.0,2470.8640000000014
22,21.0,easy,control,Experiment 1 (no preview),10,hidden,3.0,,,,2.0,aa,bb,aa,aa,1.0,6394.07000001194
22,21.0,easy,control,Experiment 1 (no preview),11,visible,3.0,b,3.0,,3.0,a,b,b,a,0.0,1973.8960000119405
22,21.0,easy,control,Experiment 1 (no preview),12,visible,0.0,b,2.0,,3.0,a,b,a,a,1.0,873.3159999999916
22,21.0,easy,control,Experiment 1 (no preview),13,visible,2.0,b,2.0,,2.0,a,b,b,b,1.0,542.5069999999832
22,21.0,easy,control,Experiment 1 (no preview),14,hidden,0.0,,,,2.0,aa,bb,bb,aa,0.0,562.268999994034
22,21.0,easy,control,Experiment 1 (no preview),15,hidden,2.0,,,,2.0,aa,bb,bb,bb,1.0,937.699000017892
22,21.0,easy,control,Experiment 1 (no preview),16,visible,0.0,a,2.0,,0.0,a,b,a,a,1.0,475.946000017866
22,21.0,easy,control,Experiment 1 (no preview),17,visible,2.0,a,3.0,,3.0,a,b,b,a,0.0,1413.0059999940568
22,21.0,easy,control,Experiment 1 (no preview),18,visible,0.0,a,2.0,,3.0,a,b,a,a,1.0,3835.087000011932
22,21.0,easy,control,Experiment 1 (no preview),19,hidden,0.0,,,,0.0,aa,ab,aa,ab,0.0,2545.481000005966
22,21.0,easy,control,Experiment 1 (no preview),20,hidden,0.0,,,,3.0,ab,aa,aa,aa,1.0,1162.275000017893
24,21.0,easy,control,Experiment 1 (no preview),1,hidden,0.0,,,,3.0,ab,aa,aa,ab,0.0,10225.615000023856
24,21.0,easy,control,Experiment 1 (no preview),2,hidden,3.0,,,,2.0,aa,bb,aa,aa,1.0,5228.32699999999
24,21.0,easy,control,Experiment 1 (no preview),3,visible,0.0,b,2.0,,2.0,a,b,b,a,0.0,4055.72799995233
24,21.0,easy,control,Experiment 1 (no preview),4,visible,0.0,a,2.0,,0.0,a,b,a,b,0.0,2357.356000023836
24,21.0,easy,control,Experiment 1 (no preview),5,visible,2.0,a,3.0,,3.0,a,b,b,b,1.0,3186.895999976143
24,21.0,easy,control,Experiment 1 (no preview),6,visible,3.0,b,3.0,,3.0,a,b,b,b,1.0,1353.3219999999856
24,21.0,easy,control,Experiment 1 (no preview),7,hidden,3.0,,,,2.0,ab,ba,ab,ab,1.0,3047.1140000238665
24,21.0,easy,control,Experiment 1 (no preview),8,hidden,0.0,,,,0.0,aa,ab,aa,aa,1.0,4929.575000000012
24,21.0,easy,control,Experiment 1 (no preview),9,visible,2.0,a,3.0,,1.0,a,b,a,a,1.0,3247.667999952333
24,21.0,easy,control,Experiment 1 (no preview),10,hidden,2.0,,,,2.0,aa,bb,bb,bb,1.0,1676.295999952301
24,21.0,easy,control,Experiment 1 (no preview),11,visible,3.0,b,3.0,,0.0,a,b,a,b,0.0,1642.4479999523028
24,21.0,easy,control,Experiment 1 (no preview),12,visible,0.0,a,2.0,,2.0,a,b,b,a,0.0,1700.969999999972
24,21.0,easy,control,Experiment 1 (no preview),13,visible,2.0,b,2.0,,2.0,a,b,b,b,1.0,1414.229000023799
24,21.0,easy,control,Experiment 1 (no preview),14,visible,0.0,a,2.0,,3.0,a,b,a,a,1.0,1046.1310000000522
24,21.0,easy,control,Experiment 1 (no preview),15,hidden,2.0,,,,1.0,ab,aa,aa,aa,1.0,1531.1569999761414
24,21.0,easy,control,Experiment 1 (no preview),16,hidden,3.0,,,,1.0,aa,ba,ba,aa,0.0,1490.042999952333
24,21.0,easy,control,Experiment 1 (no preview),17,visible,0.0,b,2.0,,3.0,a,b,a,b,0.0,2107.4400000238093
24,21.0,easy,control,Experiment 1 (no preview),18,hidden,0.0,,,,2.0,aa,bb,bb,bb,1.0,4926.122000047704
24,21.0,easy,control,Experiment 1 (no preview),19,hidden,3.0,,,,3.0,bb,ba,bb,bb,1.0,2015.329999952344
24,21.0,easy,control,Experiment 1 (no preview),20,hidden,2.0,,,,3.0,aa,ab,ab,ab,1.0,2056.2420000476995
34,22.0,hard,control,Experiment 1 (no preview),1,visible,3.0,a,2.0,,2.0,a,b,a,a,1.0,2838.598000000551
34,22.0,hard,control,Experiment 1 (no preview),2,visible,0.0,a,3.0,,0.0,a,b,a,a,1.0,5071.777999999991
34,22.0,hard,control,Experiment 1 (no preview),3,visible,2.0,a,2.0,,1.0,a,b,b,b,1.0,805.0519999997923
34,22.0,hard,control,Experiment 1 (no preview),4,hidden,1.0,,,,0.0,aa,bb,aa,aa,1.0,7655.270000000019
34,22.0,hard,control,Experiment 1 (no preview),5,hidden,2.0,,,,3.0,ba,ab,ba,ab,0.0,3188.4710000005434
34,22.0,hard,control,Experiment 1 (no preview),6,visible,0.0,b,3.0,,3.0,a,b,b,b,1.0,3005.539000000397
34,22.0,hard,control,Experiment 1 (no preview),7,hidden,3.0,,,,3.0,aa,ba,aa,aa,1.0,4388.703000000387
34,22.0,hard,control,Experiment 1 (no preview),8,visible,3.0,b,2.0,,1.0,a,b,b,a,0.0,2688.432000000379
34,22.0,hard,control,Experiment 1 (no preview),9,visible,2.0,a,2.0,,2.0,a,b,a,a,1.0,755.3140000001877
34,22.0,hard,control,Experiment 1 (no preview),10,hidden,1.0,,,,2.0,ab,ba,ba,ab,0.0,3438.593000000401
34,22.0,hard,control,Experiment 1 (no preview),11,hidden,0.0,,,,3.0,aa,ab,ab,ab,1.0,4605.571000000578
34,22.0,hard,control,Experiment 1 (no preview),12,visible,1.0,a,1.0,,0.0,a,b,a,b,0.0,1022.158000000578
34,22.0,hard,control,Experiment 1 (no preview),13,hidden,1.0,,,,3.0,ab,ba,ab,ab,1.0,2821.780000000377
34,22.0,hard,control,Experiment 1 (no preview),14,visible,2.0,b,1.0,,0.0,a,b,a,b,0.0,3305.400000000547
34,22.0,hard,control,Experiment 1 (no preview),15,hidden,2.0,,,,1.0,ba,ab,ab,ab,1.0,4771.753000000375
34,22.0,hard,control,Experiment 1 (no preview),16,hidden,0.0,,,,0.0,aa,bb,aa,aa,1.0,2205.5510000002105
34,22.0,hard,control,Experiment 1 (no preview),17,hidden,3.0,,,,1.0,ba,bb,bb,ba,0.0,5322.060000000172
