participant_id,fsm_number,fsm_type,test_condition,learning_condition,trial_number,trial_type,state_1,response_1,state_2,response_2,state_3,option_1,option_2,correctResponse,response,response_correct,response_time
15,22.0,hard,explanation,Experiment 1 (no preview),13,hidden,1.0,b,,a,2.0,,,1.0,2,0.0,4006.4000000000233
15,22.0,hard,explanation,Experiment 1 (no preview),14,hidden,2.0,b,,a,1.0,,,1.0,2,0.0,1455.3399999999674
15,22.0,hard,explanation,Experiment 1 (no preview),15,hidden,3.0,a,,a,3.0,,,1.0,2,0.0,223.40000000002328
15,22.0,hard,explanation,Experiment 1 (no preview),16,visible,3.0,a,2.0,b,1.0,,,2.0,2,1.0,135.61999999999534
15,22.0,hard,explanation,Experiment 1 (no preview),17,hidden,3.0,b,,b,3.0,,,2.0,1,0.0,9501.699999999952
15,22.0,hard,explanation,Experiment 1 (no preview),18,visible,2.0,b,1.0,a,1.0,,,1.0,1,1.0,5234.300000000047
15,22.0,hard,explanation,Experiment 1 (no preview),19,visible,2.0,b,1.0,b,1.0,,,1.0,1,1.0,8099.040000000037
15,22.0,hard,explanation,Experiment 1 (no preview),20,hidden,2.0,a,,b,1.0,,,2.0,2,1.0,2161.9599999999627
40,22.0,hard,explanation,Experiment 1 (no preview),1,visible,3.0,b,2.0,b,0.0,,,2.0,2,1.0,17085.61500000223
40,22.0,hard,explanation,Experiment 1 (no preview),2,visible,3.0,a,2.0,b,1.0,,,2.0,2,1.0,4556.036000002991
40,22.0,hard,explanation,Experiment 1 (no preview),3,visible,1.0,b,3.0,a,2.0,,,1.0,2,0.0,9326.91500000225
40,22.0,hard,explanation,Experiment 1 (no preview),4,visible,2.0,b,1.0,a,1.0,,,1.0,1,1.0,17847.801999999996
40,22.0,hard,explanation,Experiment 1 (no preview),5,visible,2.0,b,1.0,b,1.0,,,1.0,2,0.0,5077.343000002264
40,22.0,hard,explanation,Experiment 1 (no preview),6,hidden,2.0,a,,b,1.0,,,2.0,2,1.0,17683.263000000734
40,22.0,hard,explanation,Experiment 1 (no preview),7,visible,1.0,a,0.0,a,3.0,,,1.0,1,1.0,3413.2990000015125
