participant_id,fsm_number,test_condition,timestamp,learning_counter,state_current,response_current,state_next,task,learning_condition,response_time,fsm_type
2,21.0,prediction,2023-01-23T23:16:31.622Z,17,3.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),625,easy
2,21.0,prediction,2023-01-23T23:16:33.246Z,18,0.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),616,easy
2,21.0,prediction,2023-01-23T23:16:34.738Z,19,2.0,a,3.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),478,easy
2,21.0,prediction,2023-01-23T23:16:36.314Z,20,3.0,a,1.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),561,easy
2,21.0,prediction,2023-01-23T23:16:37.581Z,21,1.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),256,easy
2,21.0,prediction,2023-01-23T23:16:39.039Z,22,0.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),435,easy
2,21.0,prediction,2023-01-23T23:16:41.623Z,23,2.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1569,easy
2,21.0,prediction,2023-01-23T23:16:43.282Z,24,0.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),651,easy
2,21.0,prediction,2023-01-23T23:16:44.798Z,25,2.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),505,easy
2,21.0,prediction,2023-01-23T23:16:46.374Z,26,0.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),560,easy
2,21.0,prediction,2023-01-23T23:16:48.266Z,27,2.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),868,easy
2,21.0,prediction,2023-01-23T23:16:49.791Z,28,0.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),515,easy
2,21.0,prediction,2023-01-23T23:16:52.341Z,29,2.0,a,3.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1538,easy
2,21.0,prediction,2023-01-23T23:16:53.825Z,30,3.0,a,1.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),470,easy
2,21.0,prediction,2023-01-23T23:16:55.183Z,31,1.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),344,easy
2,21.0,prediction,2023-01-23T23:16:56.600Z,32,0.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),409,easy
2,21.0,prediction,2023-01-23T23:16:57.883Z,33,2.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),272,easy
2,21.0,prediction,2023-01-23T23:16:59.250Z,34,0.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),357,easy
2,21.0,prediction,2023-01-23T23:17:00.701Z,35,2.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),443,easy
2,21.0,prediction,2023-01-23T23:17:02.142Z,36,0.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),430,easy
2,21.0,prediction,2023-01-23T23:17:03.667Z,37,2.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),514,easy
2,21.0,prediction,2023-01-23T23:17:05.202Z,38,0.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),522,easy
2,21.0,prediction,2023-01-23T23:17:07.010Z,39,2.0,a,3.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),801,easy
2,21.0,prediction,2023-01-23T23:17:08.385Z,40,3.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),363,easy
2,21.0,prediction,2023-01-23T23:17:09.768Z,41,0.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),372,easy
2,21.0,prediction,2023-01-23T23:17:11.035Z,42,2.0,a,3.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),254,easy
2,21.0,prediction,2023-01-23T23:17:13.011Z,43,3.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),961,easy
3,21.0,prediction,2023-01-23T23:23:55.671Z,1,0.0,b,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),2992,easy
3,21.0,prediction,2023-01-23T23:23:58.884Z,2,2.0,b,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),2174,easy
3,21.0,prediction,2023-01-23T23:24:02.361Z,3,2.0,a,3.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),2419,easy
3,21.0,prediction,2023-01-23T23:24:05.256Z,4,3.0,a,1.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1654,easy
3,21.0,prediction,2023-01-23T23:24:08.294Z,5,1.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1777,easy
3,21.0,prediction,2023-01-23T23:24:10.480Z,6,0.0,b,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1163,easy
3,21.0,prediction,2023-01-23T23:24:13.460Z,7,2.0,b,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1952,easy
3,21.0,prediction,2023-01-23T23:24:16.010Z,8,2.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1514,easy
3,21.0,prediction,2023-01-23T23:24:17.837Z,9,0.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),788,easy
3,21.0,prediction,2023-01-23T23:24:19.742Z,10,2.0,a,3.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),862,easy
3,21.0,prediction,2023-01-23T23:24:21.441Z,11,3.0,b,3.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),676,easy
3,21.0,prediction,2023-01-23T23:24:23.814Z,12,3.0,b,3.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1336,easy
3,21.0,prediction,2023-01-23T23:24:25.745Z,13,3.0,b,3.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),902,easy
3,21.0,prediction,2023-01-23T23:24:27.444Z,14,3.0,a,1.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),637,easy
3,21.0,prediction,2023-01-23T23:24:30.181Z,15,1.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1700,easy
3,21.0,prediction,2023-01-23T23:24:32.445Z,16,0.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1215,easy
3,21.0,prediction,2023-01-23T23:24:34.453Z,17,2.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),949,easy
3,21.0,prediction,2023-01-23T23:24:36.210Z,18,0.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),727,easy
3,21.0,prediction,2023-01-23T23:24:38.355Z,19,2.0,b,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1109,easy
3,21.0,prediction,2023-01-23T23:24:40.309Z,20,2.0,b,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),920,easy
3,21.0,prediction,2023-01-23T23:24:41.989Z,21,2.0,b,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),641,easy
3,21.0,prediction,2023-01-23T23:24:44.164Z,22,2.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1138,easy
3,21.0,prediction,2023-01-23T23:24:47.436Z,23,0.0,b,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),2234,easy
3,21.0,prediction,2023-01-23T23:24:49.804Z,24,2.0,b,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1337,easy
3,21.0,prediction,2023-01-23T23:24:51.596Z,25,2.0,a,0.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),761,easy
3,21.0,prediction,2023-01-23T23:24:53.796Z,26,0.0,a,2.0,interaction-with-a-chatbot-using-emoji,Experiment 1 (no preview),1177,easy
