"Started.at","Completed.at","Reviewed.at","Archived.at","Time.taken","Total.approvals","Vision","Age","Sex","Ethnicity.simplified","Country.of.birth","Country.of.residence","Nationality","Language","Student.status","Employment.status","Fluent.languages","openLabId","participant_id"
"2023-01-27T18:08:56.032000Z","2023-01-27T18:14:48.155000Z","2023-01-27T18:24:48.782000","2023-01-27T18:14:48.763038Z",353,30,"Yes",28,"Female","White","United States","United States","United States","English","No","Part-Time","English","-AMsncdQuN",55
"2023-01-27T18:10:02.609000Z","2023-01-27T18:19:21.316000Z","2023-01-27T18:29:39.101000","2023-01-27T18:19:36.870081Z",559,5,"Yes",34,"Male","Mixed","United States","United States","United States","English","No","Full-Time","English","5fDRTqQ0y3",56
"2023-01-27T18:12:06.664000Z","2023-01-27T18:19:25.107000Z","2023-01-27T18:28:22.287000","2023-01-27T18:19:43.878059Z",439,6,"Yes",32,"Male","White","Australia","United States","Australia","English","No","Full-Time","English","k41P_xfm3O",57
"2023-01-27T18:14:54.853000Z","2023-01-27T18:24:22.639000Z","2023-01-27T18:30:57.151000","2023-01-27T18:24:23.132760Z",568,143,"Yes",24,"Female","Other","United States","United States","United States","English","No","Not in paid work (e.g. homemaker', 'retired or disabled)","English","kq5NyC-NcT",58
"2023-01-27T18:15:14.645000Z","2023-01-27T18:22:14.271000Z","2023-01-27T18:27:38.700000","2023-01-27T18:22:15.453226Z",420,111,"Yes",32,"Male","Mixed","United States","United States","United States","English","No","Part-Time","English","6mxprN31pt",59
"2023-01-27T18:17:11.156000Z","2023-01-27T18:24:58.243000Z","2023-01-27T18:29:10.259000","2023-01-27T18:24:58.918368Z",468,11,"Yes",31,"Female","White","United States","United States","United States","English","No","Full-Time","English","0Y4I5H99su",60
"2023-01-27T18:21:21.162000Z","2023-01-27T18:32:25.378000Z","2023-01-27T18:45:22.403000","2023-01-27T18:32:25.799998Z",665,6,"Yes",24,"Female","White","United States","United States","United States","English","No","Other","English","dG5XyQ9VZ_",61
"2023-01-27T18:25:57.192000Z","2023-01-27T18:35:54.075000Z","2023-01-27T18:45:24.252000","2023-01-27T18:35:54.772669Z",597,167,"Yes",41,"Female","White","United States","United States","United States","English","No","Full-Time","English, Portuguese","ENRzqf2umC",62
"2023-01-27T18:52:20.458000Z","2023-01-27T19:09:02.074000Z","2023-01-27T19:12:10.725000","2023-01-27T19:09:02.471829Z",1002,96,"Yes",23,"Female","Other","United States","United States","United States","Spanish","DATA_EXPIRED","DATA_EXPIRED","English, Spanish","9MchR1t0t2",63
"2023-01-27T19:02:24.026000Z","2023-01-27T19:10:12.565000Z","2023-01-27T19:12:09.071000","2023-01-27T19:10:13.006563Z",469,45,"Yes",26,"Female","White","United States","United States","United States","English","DATA_EXPIRED","DATA_EXPIRED","English","juTlOXaGLR",64
